name,team,number,position,age,height,weight,college,salary
henry sims,Brooklyn Nets,14.0,C,26,6-10,248.0,Georgetown,947276.0
donald sloan,Brooklyn Nets,15.0,PG,28,6-3,205.0,Texas A&M,947276.0
thaddeus young,Brooklyn Nets,30.0,PF,27,6-8,221.0,Georgia Tech,11235955.0
arron afflalo,New York Knicks,4.0,SG,30,6-5,210.0,UCLA,8000000.0
lou amundson,New York Knicks,17.0,PF,33,6-9,220.0,UNLV,1635476.0
thanasis antetokounmpo,New York Knicks,43.0,SF,23,6-7,205.0,,30888.0
carmelo anthony,New York Knicks,7.0,SF,32,6-8,240.0,Syracuse,22875000.0
jose calderon,New York Knicks,3.0,PG,34,6-3,200.0,,7402812.0
cleanthony early,New York Knicks,11.0,SF,25,6-8,210.0,Wichita State,845059.0
langston galloway,New York Knicks,2.0,SG,24,6-2,200.0,Saint Joseph's,845059.0
jerian grant,New York Knicks,13.0,PG,23,6-4,195.0,Notre Dame,1572360.0
robin lopez,New York Knicks,8.0,C,28,7-0,255.0,Stanford,12650000.0
kyle o'quinn,New York Knicks,9.0,PF,26,6-10,250.0,Norfolk State,3750000.0
kristaps porzingis,New York Knicks,6.0,PF,20,7-3,240.0,,4131720.0
kevin seraphin,New York Knicks,1.0,C,26,6-10,278.0,,2814000.0
lance thomas,New York Knicks,42.0,SF,28,6-8,235.0,Duke,1636842.0
sasha vujacic,New York Knicks,18.0,SG,32,6-7,195.0,,947276.0
derrick williams,New York Knicks,23.0,PF,25,6-8,240.0,Arizona,4000000.0
tony wroten,New York Knicks,5.0,SG,23,6-6,205.0,Washington,167406.0
elton brand,Philadelphia 76ers,42.0,PF,37,6-9,254.0,Duke,
isaiah canaan,Philadelphia 76ers,0.0,PG,25,6-0,201.0,Murray State,947276.0
robert covington,Philadelphia 76ers,33.0,SF,25,6-9,215.0,Tennessee State,1000000.0
joel embiid,Philadelphia 76ers,21.0,C,22,7-0,250.0,Kansas,4626960.0
jerami grant,Philadelphia 76ers,39.0,SF,22,6-8,210.0,Syracuse,845059.0
richaun holmes,Philadelphia 76ers,22.0,PF,22,6-10,245.0,Bowling Green,1074169.0
carl landry,Philadelphia 76ers,7.0,PF,32,6-9,248.0,Purdue,6500000.0
kendall marshall,Philadelphia 76ers,5.0,PG,24,6-4,200.0,North Carolina,2144772.0
t.j. mcconnell,Philadelphia 76ers,12.0,PG,24,6-2,200.0,Arizona,525093.0
nerlens noel,Philadelphia 76ers,4.0,PF,22,6-11,228.0,Kentucky,3457800.0
jahlil okafor,Philadelphia 76ers,8.0,C,20,6-11,275.0,Duke,4582680.0
ish smith,Philadelphia 76ers,1.0,PG,27,6-0,175.0,Wake Forest,947276.0
nik stauskas,Philadelphia 76ers,11.0,SG,22,6-6,205.0,Michigan,2869440.0
hollis thompson,Philadelphia 76ers,31.0,SG,25,6-8,206.0,Georgetown,947276.0
christian wood,Philadelphia 76ers,35.0,PF,20,6-11,220.0,UNLV,525093.0
bismack biyombo,Toronto Raptors,8.0,C,23,6-9,245.0,,2814000.0
bruno caboclo,Toronto Raptors,20.0,SF,20,6-9,205.0,,1524000.0
demarre carroll,Toronto Raptors,5.0,SF,29,6-8,212.0,Missouri,13600000.0
demar derozan,Toronto Raptors,10.0,SG,26,6-7,220.0,USC,10050000.0
james johnson,Toronto Raptors,3.0,PF,29,6-9,250.0,Wake Forest,2500000.0
cory joseph,Toronto Raptors,6.0,PG,24,6-3,190.0,Texas,7000000.0
kyle lowry,Toronto Raptors,7.0,PG,30,6-0,205.0,Villanova,12000000.0
lucas nogueira,Toronto Raptors,92.0,C,23,7-0,220.0,,1842000.0
patrick patterson,Toronto Raptors,54.0,PF,27,6-9,235.0,Kentucky,6268675.0
norman powell,Toronto Raptors,24.0,SG,23,6-4,215.0,UCLA,650000.0
terrence ross,Toronto Raptors,31.0,SF,25,6-7,195.0,Washington,3553917.0
luis scola,Toronto Raptors,4.0,PF,36,6-9,240.0,,2900000.0
jason thompson,Toronto Raptors,1.0,PF,29,6-11,250.0,Rider,245177.0
jonas valanciunas,Toronto Raptors,17.0,C,24,7-0,255.0,,4660482.0
delon wright,Toronto Raptors,55.0,PG,24,6-5,190.0,Utah,1509360.0
leandro barbosa,Golden State Warriors,19.0,SG,33,6-3,194.0,,2500000.0
harrison barnes,Golden State Warriors,40.0,SF,24,6-8,225.0,North Carolina,3873398.0
andrew bogut,Golden State Warriors,12.0,C,31,7-0,260.0,Utah,13800000.0
ian clark,Golden State Warriors,21.0,SG,25,6-3,175.0,Belmont,947276.0
stephen curry,Golden State Warriors,30.0,PG,28,6-3,190.0,Davidson,11370786.0
festus ezeli,Golden State Warriors,31.0,C,26,6-11,265.0,Vanderbilt,2008748.0
draymond green,Golden State Warriors,23.0,PF,26,6-7,230.0,Michigan State,14260870.0
andre iguodala,Golden State Warriors,9.0,SF,32,6-6,215.0,Arizona,11710456.0
shaun livingston,Golden State Warriors,34.0,PG,30,6-7,192.0,,5543725.0
kevon looney,Golden State Warriors,36.0,SF,20,6-9,220.0,UCLA,1131960.0
james michael mcadoo,Golden State Warriors,20.0,SF,23,6-9,240.0,North Carolina,845059.0
brandon rush,Golden State Warriors,4.0,SF,30,6-6,220.0,Kansas,1270964.0
marreese speights,Golden State Warriors,5.0,C,28,6-10,255.0,Florida,3815000.0
klay thompson,Golden State Warriors,11.0,SG,26,6-7,215.0,Washington State,15501000.0
anderson varejao,Golden State Warriors,18.0,PF,33,6-11,273.0,,289755.0
cole aldrich,Los Angeles Clippers,45.0,C,27,6-11,250.0,Kansas,1100602.0
jeff ayres,Los Angeles Clippers,19.0,PF,29,6-9,250.0,Arizona State,111444.0
jamal crawford,Los Angeles Clippers,11.0,SG,36,6-5,195.0,Michigan,5675000.0
branden dawson,Los Angeles Clippers,22.0,SF,23,6-6,225.0,Michigan State,525093.0
jeff green,Los Angeles Clippers,8.0,SF,29,6-9,235.0,Georgetown,9650000.0
blake griffin,Los Angeles Clippers,32.0,PF,27,6-10,251.0,Oklahoma,18907726.0
wesley johnson,Los Angeles Clippers,33.0,SF,28,6-7,215.0,Syracuse,1100602.0
deandre jordan,Los Angeles Clippers,6.0,C,27,6-11,265.0,Texas A&M,19689000.0
luc richard mbah a moute,Los Angeles Clippers,12.0,PF,29,6-8,230.0,UCLA,947276.0
chris paul,Los Angeles Clippers,3.0,PG,31,6-0,175.0,Wake Forest,21468695.0
paul pierce,Los Angeles Clippers,34.0,SF,38,6-7,235.0,Kansas,3376000.0
pablo prigioni,Los Angeles Clippers,9.0,PG,39,6-3,185.0,,947726.0
jj redick,Los Angeles Clippers,4.0,SG,31,6-4,190.0,Duke,7085000.0
austin rivers,Los Angeles Clippers,25.0,PG,23,6-4,200.0,Duke,3110796.0
c.j. wilcox,Los Angeles Clippers,30.0,SG,25,6-5,195.0,Washington,1159680.0
brandon bass,Los Angeles Lakers,2.0,PF,31,6-8,250.0,LSU,3000000.0
tarik black,Los Angeles Lakers,28.0,C,24,6-9,250.0,Kansas,845059.0
anthony brown,Los Angeles Lakers,3.0,SF,23,6-7,210.0,Stanford,700000.0
kobe bryant,Los Angeles Lakers,24.0,SF,37,6-6,212.0,,25000000.0
jordan clarkson,Los Angeles Lakers,6.0,PG,24,6-5,194.0,Missouri,845059.0
roy hibbert,Los Angeles Lakers,17.0,C,29,7-2,270.0,Georgetown,15592217.0
marcelo huertas,Los Angeles Lakers,9.0,PG,33,6-3,200.0,,525093.0
ryan kelly,Los Angeles Lakers,4.0,PF,25,6-11,230.0,Duke,1724250.0
larry nance jr.,Los Angeles Lakers,7.0,PF,23,6-9,230.0,Wyoming,1155600.0
julius randle,Los Angeles Lakers,30.0,PF,21,6-9,250.0,Kentucky,3132240.0
d'angelo russell,Los Angeles Lakers,1.0,PG,20,6-5,195.0,Ohio State,5103120.0
robert sacre,Los Angeles Lakers,50.0,C,27,7-0,270.0,Gonzaga,981348.0
louis williams,Los Angeles Lakers,23.0,SG,29,6-1,175.0,,7000000.0
metta world peace,Los Angeles Lakers,37.0,SF,36,6-7,260.0,St. John's,947276.0
nick young,Los Angeles Lakers,0.0,SF,31,6-7,210.0,USC,5219169.0
eric bledsoe,Phoenix Suns,2.0,PG,26,6-1,190.0,Kentucky,13500000.0
devin booker,Phoenix Suns,1.0,SG,19,6-6,206.0,Kentucky,2127840.0
chase budinger,Phoenix Suns,10.0,SF,28,6-7,209.0,Arizona,206192.0
tyson chandler,Phoenix Suns,4.0,C,33,7-1,240.0,,13000000.0
archie goodwin,Phoenix Suns,20.0,SG,21,6-5,200.0,Kentucky,1160160.0
john jenkins,Phoenix Suns,23.0,SG,25,6-4,215.0,Vanderbilt,981348.0
brandon knight,Phoenix Suns,3.0,PG,24,6-3,189.0,Kentucky,13500000.0
alex len,Phoenix Suns,21.0,C,22,7-1,260.0,Maryland,3807120.0
jon leuer,Phoenix Suns,30.0,PF,27,6-10,228.0,Wisconsin,1035000.0
phil pressey,Phoenix Suns,25.0,PG,25,5-11,175.0,Missouri,55722.0
ronnie price,Phoenix Suns,14.0,PG,32,6-2,190.0,Utah Valley,947276.0
mirza teletovic,Phoenix Suns,35.0,PF,30,6-9,242.0,,5500000.0
p.j. tucker,Phoenix Suns,17.0,SF,31,6-6,245.0,Texas,5500000.0
t.j. warren,Phoenix Suns,12.0,SF,22,6-8,230.0,North Carolina State,2041080.0
alan williams,Phoenix Suns,15.0,C,23,6-8,260.0,UC Santa Barbara,83397.0
quincy acy,Sacramento Kings,13.0,SF,25,6-7,240.0,Baylor,981348.0
james anderson,Sacramento Kings,5.0,SG,27,6-6,213.0,Oklahoma State,1015421.0
marco belinelli,Sacramento Kings,3.0,SG,30,6-5,210.0,,6060606.0
caron butler,Sacramento Kings,31.0,SF,36,6-7,228.0,Connecticut,1449187.0
omri casspi,Sacramento Kings,18.0,SF,27,6-9,225.0,,2836186.0
willie cauley-stein,Sacramento Kings,0.0,C,22,7-0,240.0,Kentucky,3398280.0
darren collison,Sacramento Kings,7.0,PG,28,6-0,175.0,UCLA,5013559.0
demarcus cousins,Sacramento Kings,15.0,C,25,6-11,270.0,Kentucky,15851950.0
seth curry,Sacramento Kings,30.0,SG,25,6-2,185.0,Duke,947276.0
duje dukan,Sacramento Kings,26.0,PF,24,6-9,220.0,Wisconsin,525093.0
rudy gay,Sacramento Kings,8.0,SF,29,6-8,230.0,Connecticut,12403101.0
kosta koufos,Sacramento Kings,41.0,C,27,7-0,265.0,Ohio State,7700000.0
ben mclemore,Sacramento Kings,23.0,SG,23,6-5,195.0,Kansas,3156600.0
eric moreland,Sacramento Kings,25.0,PF,24,6-10,238.0,Oregon State,845059.0
rajon rondo,Sacramento Kings,9.0,PG,30,6-1,186.0,Kentucky,9500000.0
cameron bairstow,Chicago Bulls,41.0,PF,25,6-9,250.0,New Mexico,845059.0
aaron brooks,Chicago Bulls,0.0,PG,31,6-0,161.0,Oregon,2250000.0
jimmy butler,Chicago Bulls,21.0,SG,26,6-7,220.0,Marquette,16407500.0
mike dunleavy,Chicago Bulls,34.0,SG,35,6-9,230.0,Duke,4500000.0
cristiano felicio,Chicago Bulls,6.0,PF,23,6-10,275.0,,525093.0
pau gasol,Chicago Bulls,16.0,C,35,7-0,250.0,,7448760.0
taj gibson,Chicago Bulls,22.0,PF,30,6-9,225.0,USC,8500000.0
justin holiday,Chicago Bulls,7.0,SG,27,6-6,185.0,Washington,947276.0
doug mcdermott,Chicago Bulls,3.0,SF,24,6-8,225.0,Creighton,2380440.0
nikola mirotic,Chicago Bulls,44.0,PF,25,6-10,220.0,,5543725.0
e'twaun moore,Chicago Bulls,55.0,SG,27,6-4,191.0,Purdue,1015421.0
joakim noah,Chicago Bulls,13.0,C,31,6-11,232.0,Florida,13400000.0
bobby portis,Chicago Bulls,5.0,PF,21,6-11,230.0,Arkansas,1391160.0
derrick rose,Chicago Bulls,1.0,PG,27,6-3,190.0,Memphis,20093064.0
tony snell,Chicago Bulls,20.0,SF,24,6-7,200.0,New Mexico,1535880.0
matthew dellavedova,Cleveland Cavaliers,8.0,PG,25,6-4,198.0,Saint Mary's,1147276.0
channing frye,Cleveland Cavaliers,9.0,PF,33,6-11,255.0,Arizona,8193029.0
kyrie irving,Cleveland Cavaliers,2.0,PG,24,6-3,193.0,Duke,16407501.0
lebron james,Cleveland Cavaliers,23.0,SF,31,6-8,250.0,,22970500.0
richard jefferson,Cleveland Cavaliers,24.0,SF,35,6-7,233.0,Arizona,947276.0
dahntay jones,Cleveland Cavaliers,30.0,SG,35,6-6,225.0,Duke,
james jones,Cleveland Cavaliers,1.0,SG,35,6-8,218.0,Miami (FL),947276.0
sasha kaun,Cleveland Cavaliers,14.0,C,31,6-11,260.0,Kansas,1276000.0
kevin love,Cleveland Cavaliers,0.0,PF,27,6-10,251.0,UCLA,19689000.0
jordan mcrae,Cleveland Cavaliers,12.0,SG,25,6-5,179.0,Tennessee,111196.0
timofey mozgov,Cleveland Cavaliers,20.0,C,29,7-1,275.0,,4950000.0
iman shumpert,Cleveland Cavaliers,4.0,SG,25,6-5,220.0,Georgia Tech,8988765.0
j.r. smith,Cleveland Cavaliers,5.0,SG,30,6-6,225.0,,5000000.0
tristan thompson,Cleveland Cavaliers,13.0,C,25,6-9,238.0,Texas,14260870.0
mo williams,Cleveland Cavaliers,52.0,PG,33,6-1,198.0,Alabama,2100000.0
joel anthony,Detroit Pistons,50.0,C,33,6-9,245.0,UNLV,2500000.0
aron baynes,Detroit Pistons,12.0,C,29,6-10,260.0,Washington State,6500000.0
steve blake,Detroit Pistons,22.0,PG,36,6-3,172.0,Maryland,2170465.0
lorenzo brown,Detroit Pistons,17.0,PG,25,6-5,189.0,North Carolina State,111444.0
reggie bullock,Detroit Pistons,25.0,SF,25,6-7,205.0,North Carolina,1252440.0
kentavious caldwell-pope,Detroit Pistons,5.0,SG,23,6-5,205.0,Georgia,2891760.0
spencer dinwiddie,Detroit Pistons,8.0,PG,23,6-6,200.0,Colorado,845059.0
andre drummond,Detroit Pistons,0.0,C,22,6-11,279.0,Connecticut,3272091.0
tobias harris,Detroit Pistons,34.0,SF,23,6-9,235.0,Tennessee,16000000.0
darrun hilliard,Detroit Pistons,6.0,SF,23,6-6,205.0,Villanova,600000.0
reggie jackson,Detroit Pistons,1.0,PG,26,6-3,208.0,Boston College,13913044.0
stanley johnson,Detroit Pistons,3.0,SF,20,6-7,245.0,Arizona,2841960.0
jodie meeks,Detroit Pistons,20.0,SG,28,6-4,210.0,Kentucky,6270000.0
marcus morris,Detroit Pistons,13.0,PF,26,6-9,235.0,Kansas,5000000.0
anthony tolliver,Detroit Pistons,43.0,PF,31,6-8,240.0,Creighton,3000000.0
lavoy allen,Indiana Pacers,5.0,PF,27,6-9,255.0,Temple,4050000.0
rakeem christmas,Indiana Pacers,25.0,PF,24,6-9,250.0,Syracuse,1007026.0
monta ellis,Indiana Pacers,11.0,SG,30,6-3,185.0,,10300000.0
paul george,Indiana Pacers,13.0,SF,26,6-9,220.0,Fresno State,17120106.0
george hill,Indiana Pacers,3.0,PG,30,6-3,188.0,IUPUI,8000000.0
jordan hill,Indiana Pacers,27.0,C,28,6-10,235.0,Arizona,4000000.0
solomon hill,Indiana Pacers,44.0,SF,25,6-7,225.0,Arizona,1358880.0
ty lawson,Indiana Pacers,10.0,PG,28,5-11,195.0,North Carolina,211744.0
ian mahinmi,Indiana Pacers,28.0,C,29,6-11,250.0,,4000000.0
c.j. miles,Indiana Pacers,0.0,SF,29,6-6,231.0,,4394225.0
glenn robinson iii,Indiana Pacers,40.0,SG,22,6-7,222.0,Michigan,1100000.0
rodney stuckey,Indiana Pacers,2.0,PG,30,6-5,205.0,Eastern Washington,7000000.0
myles turner,Indiana Pacers,33.0,PF,20,6-11,243.0,Texas,2357760.0
shayne whittington,Indiana Pacers,42.0,PF,25,6-11,250.0,Western Michigan,845059.0
joe young,Indiana Pacers,1.0,PG,23,6-2,180.0,Oregon,1007026.0
giannis antetokounmpo,Milwaukee Bucks,34.0,SF,21,6-11,222.0,,1953960.0
jerryd bayless,Milwaukee Bucks,19.0,PG,27,6-3,200.0,Arizona,3000000.0
michael carter-williams,Milwaukee Bucks,5.0,PG,24,6-6,190.0,Syracuse,2399040.0
jared cunningham,Milwaukee Bucks,9.0,SG,25,6-4,195.0,Oregon State,947276.0
tyler ennis,Milwaukee Bucks,11.0,PG,21,6-3,194.0,Syracuse,1662360.0
john henson,Milwaukee Bucks,31.0,PF,25,6-11,229.0,North Carolina,2943221.0
damien inglis,Milwaukee Bucks,17.0,SF,21,6-8,246.0,,855000.0
o.j. mayo,Milwaukee Bucks,3.0,SG,28,6-5,210.0,USC,8000000.0
khris middleton,Milwaukee Bucks,22.0,SG,24,6-8,234.0,Texas A&M,14700000.0
greg monroe,Milwaukee Bucks,15.0,C,26,6-11,265.0,Georgetown,16407500.0
steve novak,Milwaukee Bucks,6.0,SF,32,6-10,225.0,Marquette,295327.0
johnny o'bryant iii,Milwaukee Bucks,77.0,PF,23,6-9,257.0,LSU,845059.0
jabari parker,Milwaukee Bucks,12.0,PF,21,6-8,250.0,Duke,5152440.0
miles plumlee,Milwaukee Bucks,18.0,C,27,6-11,249.0,Duke,2109294.0
greivis vasquez,Milwaukee Bucks,21.0,PG,29,6-6,217.0,Maryland,6600000.0
rashad vaughn,Milwaukee Bucks,20.0,SG,19,6-6,202.0,UNLV,1733040.0
justin anderson,Dallas Mavericks,1.0,SG,22,6-6,228.0,Virginia,1449000.0
j.j. barea,Dallas Mavericks,5.0,PG,31,6-0,185.0,Northeastern,4290000.0
jeremy evans,Dallas Mavericks,21.0,SF,28,6-9,200.0,Western Kentucky,1100602.0
raymond felton,Dallas Mavericks,2.0,PG,31,6-1,205.0,North Carolina,3950313.0
devin harris,Dallas Mavericks,34.0,PG,33,6-3,185.0,Wisconsin,4053446.0
david lee,Dallas Mavericks,42.0,PF,33,6-9,245.0,Florida,2085671.0
wesley matthews,Dallas Mavericks,23.0,SG,29,6-5,220.0,Marquette,16407500.0
javale mcgee,Dallas Mavericks,11.0,C,28,7-0,270.0,Nevada,1270964.0
salah mejri,Dallas Mavericks,50.0,C,29,7-2,245.0,,525093.0
dirk nowitzki,Dallas Mavericks,41.0,PF,37,7-0,245.0,,8333334.0
zaza pachulia,Dallas Mavericks,27.0,C,32,6-11,275.0,,5200000.0
chandler parsons,Dallas Mavericks,25.0,SF,27,6-10,230.0,Florida,15361500.0
dwight powell,Dallas Mavericks,7.0,PF,24,6-11,240.0,Stanford,845059.0
charlie villanueva,Dallas Mavericks,3.0,PF,31,6-11,232.0,Connecticut,947276.0
deron williams,Dallas Mavericks,8.0,PG,31,6-3,200.0,Illinois,5378974.0
trevor ariza,Houston Rockets,1.0,SF,30,6-8,215.0,UCLA,8193030.0
michael beasley,Houston Rockets,8.0,SF,27,6-10,235.0,Kansas State,306527.0
patrick beverley,Houston Rockets,2.0,PG,27,6-1,185.0,Arkansas,6486486.0
corey brewer,Houston Rockets,33.0,SG,30,6-9,186.0,Florida,8229375.0
clint capela,Houston Rockets,15.0,PF,22,6-10,240.0,,1242720.0
sam dekker,Houston Rockets,7.0,SF,22,6-9,230.0,Wisconsin,1646400.0
andrew goudelock,Houston Rockets,0.0,PG,27,6-3,200.0,Charleston,200600.0
james harden,Houston Rockets,13.0,SG,26,6-5,220.0,Arizona State,15756438.0
montrezl harrell,Houston Rockets,35.0,PF,22,6-8,240.0,Louisville,1000000.0
dwight howard,Houston Rockets,12.0,C,30,6-11,265.0,,22359364.0
terrence jones,Houston Rockets,6.0,PF,24,6-9,252.0,Kentucky,2489530.0
k.j. mcdaniels,Houston Rockets,32.0,SG,23,6-6,205.0,Clemson,3189794.0
donatas motiejunas,Houston Rockets,20.0,PF,25,7-0,222.0,,2288205.0
josh smith,Houston Rockets,5.0,C,30,6-9,225.0,,947276.0
jason terry,Houston Rockets,31.0,SG,38,6-2,185.0,Arizona,947276.0
jordan adams,Memphis Grizzlies,3.0,SG,21,6-5,209.0,UCLA,1404600.0
tony allen,Memphis Grizzlies,9.0,SG,34,6-4,213.0,Oklahoma State,5158539.0
chris andersen,Memphis Grizzlies,7.0,PF,37,6-10,245.0,Blinn College,5000000.0
matt barnes,Memphis Grizzlies,22.0,SF,36,6-7,226.0,UCLA,3542500.0
vince carter,Memphis Grizzlies,15.0,SG,39,6-6,220.0,North Carolina,4088019.0
mike conley,Memphis Grizzlies,11.0,PG,28,6-1,175.0,Ohio State,9588426.0
bryce cotton,Memphis Grizzlies,8.0,PG,23,6-1,165.0,Providence,700902.0
jordan farmar,Memphis Grizzlies,4.0,PG,29,6-2,180.0,UCLA,
marc gasol,Memphis Grizzlies,33.0,C,31,7-1,255.0,,19688000.0
jamychal green,Memphis Grizzlies,0.0,PF,25,6-9,227.0,Alabama,845059.0
p.j. hairston,Memphis Grizzlies,19.0,SF,23,6-6,230.0,North Carolina,1201440.0
jarell martin,Memphis Grizzlies,10.0,PF,22,6-10,239.0,LSU,1230840.0
ray mccallum,Memphis Grizzlies,5.0,PG,24,6-3,190.0,Detroit,
xavier munford,Memphis Grizzlies,14.0,PG,24,6-3,180.0,Rhode Island,
zach randolph,Memphis Grizzlies,50.0,PF,34,6-9,260.0,Michigan State,9638555.0
lance stephenson,Memphis Grizzlies,1.0,SF,25,6-5,230.0,Cincinnati,9000000.0
alex stepheson,Memphis Grizzlies,35.0,PF,28,6-10,270.0,USC,
brandan wright,Memphis Grizzlies,34.0,PF,28,6-10,210.0,North Carolina,5464000.0
alexis ajinca,New Orleans Pelicans,42.0,C,28,7-2,248.0,,4389607.0
ryan anderson,New Orleans Pelicans,33.0,PF,28,6-10,240.0,California,8500000.0
omer asik,New Orleans Pelicans,3.0,C,29,7-0,255.0,,9213483.0
luke babbitt,New Orleans Pelicans,8.0,SF,26,6-9,225.0,Nevada,1100602.0
norris cole,New Orleans Pelicans,30.0,PG,27,6-2,175.0,Cleveland State,3036927.0
dante cunningham,New Orleans Pelicans,44.0,PF,29,6-8,230.0,Villanova,2850000.0
anthony davis,New Orleans Pelicans,23.0,PF,23,6-10,253.0,Kentucky,7070730.0
bryce dejean-jones,New Orleans Pelicans,31.0,SG,23,6-6,203.0,Iowa State,169883.0
toney douglas,New Orleans Pelicans,16.0,PG,30,6-2,195.0,Florida State,1164858.0
james ennis,New Orleans Pelicans,4.0,SF,25,6-7,210.0,Long Beach State,845059.0
tyreke evans,New Orleans Pelicans,1.0,SG,26,6-6,220.0,Memphis,10734586.0
tim frazier,New Orleans Pelicans,2.0,PG,25,6-1,170.0,Penn State,845059.0
alonzo gee,New Orleans Pelicans,15.0,SF,29,6-6,225.0,Alabama,1320000.0
eric gordon,New Orleans Pelicans,10.0,SG,27,6-4,215.0,Indiana,15514031.0
jordan hamilton,New Orleans Pelicans,25.0,SG,25,6-7,220.0,Texas,1015421.0
jrue holiday,New Orleans Pelicans,11.0,PG,25,6-4,205.0,UCLA,10595507.0
orlando johnson,New Orleans Pelicans,0.0,SG,27,6-5,220.0,UC Santa Barbara,55722.0
kendrick perkins,New Orleans Pelicans,5.0,C,31,6-10,270.0,,947276.0
quincy pondexter,New Orleans Pelicans,20.0,SF,28,6-7,220.0,Washington,3382023.0
lamarcus aldridge,San Antonio Spurs,12.0,PF,30,6-11,240.0,Texas,19689000.0
kyle anderson,San Antonio Spurs,1.0,SF,22,6-9,230.0,UCLA,1142880.0
matt bonner,San Antonio Spurs,15.0,C,36,6-10,235.0,Florida,947276.0
boris diaw,San Antonio Spurs,33.0,C,34,6-8,250.0,,7500000.0
tim duncan,San Antonio Spurs,21.0,C,40,6-11,250.0,Wake Forest,5250000.0
manu ginobili,San Antonio Spurs,20.0,SG,38,6-6,205.0,,2814000.0
danny green,San Antonio Spurs,14.0,SG,28,6-6,215.0,North Carolina,10000000.0
kawhi leonard,San Antonio Spurs,2.0,SF,24,6-7,230.0,San Diego State,16407500.0
boban marjanovic,San Antonio Spurs,40.0,C,27,7-3,290.0,,1200000.0
kevin martin,San Antonio Spurs,23.0,SG,33,6-7,199.0,Western Carolina,200600.0
andre miller,San Antonio Spurs,24.0,PG,40,6-3,200.0,Utah,250750.0
patty mills,San Antonio Spurs,8.0,PG,27,6-0,185.0,Saint Mary's,3578947.0
tony parker,San Antonio Spurs,9.0,PG,34,6-2,185.0,,13437500.0
jonathon simmons,San Antonio Spurs,17.0,SG,26,6-6,195.0,Houston,525093.0
david west,San Antonio Spurs,30.0,PF,35,6-9,250.0,Xavier,1499187.0
kent bazemore,Atlanta Hawks,24.0,SF,26,6-5,201.0,Old Dominion,2000000.0
tim hardaway jr.,Atlanta Hawks,10.0,SG,24,6-6,205.0,Michigan,1304520.0
kirk hinrich,Atlanta Hawks,12.0,SG,35,6-4,190.0,Kansas,2854940.0
al horford,Atlanta Hawks,15.0,C,30,6-10,245.0,Florida,12000000.0
kris humphries,Atlanta Hawks,43.0,PF,31,6-9,235.0,Minnesota,1000000.0
kyle korver,Atlanta Hawks,26.0,SG,35,6-7,212.0,Creighton,5746479.0
paul millsap,Atlanta Hawks,4.0,PF,31,6-8,246.0,Louisiana Tech,18671659.0
mike muscala,Atlanta Hawks,31.0,PF,24,6-11,240.0,Bucknell,947276.0
lamar patterson,Atlanta Hawks,13.0,SG,24,6-5,225.0,Pittsburgh,525093.0
dennis schroder,Atlanta Hawks,17.0,PG,22,6-1,172.0,,1763400.0
